column,n_samples,n_features,rmse_loo,r2_loo
col_1,20,268,0.05103450654209205,0.5733615859789777
col_2,20,268,0.0672467819310652,0.55266300523452
col_3,19,268,0.06868926769275553,0.30004282316253095
col_5,21,268,0.3682581628197186,-0.18594076517795877
col_6,21,268,0.2977238054882078,0.012624368390806384
col_7,21,268,0.275545517283573,0.022049434723795724
col_9,20,268,0.05020975558401196,0.5975383850884068
col_10,20,268,0.06149023956604439,0.5728954774629883
col_11,20,268,0.0600600844217413,0.3885041971950003
col_13,21,268,0.3666490762560118,-0.17301763746833299
col_14,21,268,0.32843806534005876,0.06788986681873965
col_15,21,268,0.38222463043550753,0.12744567696031506
col_17,17,268,0.7711891672357225,-0.9552182238797178
col_18,17,268,0.05884585351379807,0.46299680001246346
col_19,17,268,0.09131606488000302,0.34585715233609715
col_21,20,268,0.365033218769396,-0.06124810491598165
col_22,20,268,0.05148643393990396,0.5525797915780254
col_23,20,268,0.07316343983258056,0.530808464719129
col_25,22,268,0.3510877816219145,-0.059474465782007435
col_26,22,268,0.18644712717021705,0.08064274897228518
col_27,22,268,0.16211799191034523,0.15334249008588008
col_29,21,268,0.04222401511062504,0.7077157820225016
col_30,21,268,0.0618004006275652,0.6061759546114258
col_31,21,268,0.05666478816327998,0.6243816345809001
col_33,21,268,0.3634654026598124,-0.11852854970319737
col_34,21,268,0.28545576205752066,0.20119501014761598
col_35,21,268,0.26999120316140834,0.38499025921010177
